Date,A - 3.9knot,B 4.0 - 7.8knot,C 7.9 - 11.7knot,D 11.8 - 15.6knot,E 15.7 - 19.4knot,F > 19.4knot,total %
2026.01.01,99.8,0.2,0.0,0.0,0.0,0.0,100
2026.01.02,94.6,5.1,0.3,0.0,0.0,0.0,100
2026.01.03,77.8,19.4,2.7,0.0,0.0,0.0,100
2026.01.04,90.3,9.4,0.3,0.0,0.0,0.0,100
2026.01.05,78.4,18.0,3.5,0.1,0.0,0.0,100
2026.01.06,80.3,16.1,3.5,0.0,0.0,0.0,100
2026.01.07,59.3,26.6,13.5,0.6,0.0,0.0,100
2026.01.08,53.6,22.2,23.5,0.7,0.0,0.0,100
2026.01.09,58.7,12.9,23.0,5.1,0.4,0.0,100
2026.01.10,81.8,13.9,4.2,0.1,0.0,0.0,100
2026.01.11,82.6,15.1,2.3,0.0,0.0,0.0,100
2026.01.12,77.9,18.9,3.1,0.0,0.0,0.0,100
2026.01.13,89.8,9.0,1.2,0.0,0.0,0.0,100
2026.01.14,93.4,6.6,0.0,0.0,0.0,0.0,100
2026.01.15,98.0,2.0,0.0,0.0,0.0,0.0,100
2026.01.16,99.2,0.8,0.1,0.0,0.0,0.0,100
2026.01.17,99.2,0.8,0.0,0.0,0.0,0.0,100
2026.01.18,99.2,0.8,0.0,0.0,0.0,0.0,100
2026.01.19,88.7,10.5,0.8,0.0,0.0,0.0,100
2026.01.20,96.7,3.3,0.0,0.0,0.0,0.0,100
2026.01.21,97.7,2.3,0.0,0.0,0.0,0.0,100
2026.01.22,92.2,7.7,0.1,0.0,0.0,0.0,100
2026.01.23,79.6,15.3,5.2,0.0,0.0,0.0,100
2026.01.24,92.8,7.2,0.1,0.0,0.0,0.0,100
2026.01.25,93.2,6.7,0.1,0.0,0.0,0.0,100
2026.01.26,94.9,4.2,0.9,0.0,0.0,0.0,100
2026.01.27,88.6,10.2,1.1,0.0,0.0,0.0,100
2026.01.28,96.7,2.6,0.6,0.1,0.0,0.0,100
2026.01.29,98.1,1.9,0.0,0.0,0.0,0.0,100
2026.01.30,99.0,1.0,0.0,0.0,0.0,0.0,100
2026.01.31,98.6,1.3,0.1,0.0,0.0,0.0,100
2026.02.01,98.6,1.3,0.1,0.0,0.0,0.0,100
2026.02.02,90.1,9.4,0.6,0.0,0.0,0.0,100
2026.02.03,80.7,14.6,4.7,0.0,0.0,0.0,100
2026.02.04,85.0,9.0,5.6,0.4,0.0,0.0,100
2026.02.05,98.0,2.0,0.0,0.0,0.0,0.0,100
2026.02.06,88.2,10.0,1.8,0.0,0.0,0.0,100
2026.02.07,98.1,1.8,0.1,0.0,0.0,0.0,100
2026.02.08,92.6,7.4,0.0,0.0,0.0,0.0,100
2026.02.09,90.8,8.8,0.4,0.0,0.0,0.0,100
2026.02.10,94.4,5.0,0.6,0.0,0.0,0.0,100
2026.02.11,82.9,16.4,0.6,0.0,0.0,0.0,100
2026.02.12,83.9,15.8,0.3,0.0,0.0,0.0,100
2026.02.13,84.5,15.3,0.2,0.0,0.0,0.0,100
2026.02.14,85.3,14.7,0.1,0.0,0.0,0.0,100
2026.02.15,89.7,10.3,0.0,0.0,0.0,0.0,100
2026.02.16,87.1,12.7,0.2,0.0,0.0,0.0,100
2026.02.17,84.6,15.3,0.1,0.0,0.0,0.0,100
2026.02.18,85.9,13.4,0.7,0.0,0.0,0.0,100
2026.02.19,74.5,25.1,0.4,0.0,0.0,0.0,100
2026.02.20,80.6,18.5,0.9,0.0,0.0,0.0,100
2026.02.21,83.6,16.1,0.2,0.0,0.0,0.0,100
2026.02.22,78.6,20.5,0.9,0.0,0.0,0.0,100
2026.02.23,79.3,20.5,0.1,0.0,0.0,0.0,100
2026.02.24,80.2,18.0,1.8,0.0,0.0,0.0,100
2026.02.25,64.7,33.8,1.5,0.0,0.0,0.0,100
2026.02.26,80.2,16.6,2.4,0.5,0.2,0.0,100
2026.02.27,92.3,6.8,1.0,0.0,0.0,0.0,100
2026.02.28,83.2,16.3,0.5,0.0,0.0,0.0,100
2026.03.01,78.2,21.6,0.2,0.0,0.0,0.0,100
2026.03.02,76.3,23.7,0.0,0.0,0.0,0.0,100
2026.03.03,72.3,27.6,0.1,0.0,0.0,0.0,100
2026.03.04,69.3,26.3,4.4,0.0,0.0,0.0,100
2026.03.05,82.6,17.3,0.1,0.0,0.0,0.0,100
2026.03.06,79.8,19.9,0.3,0.0,0.0,0.0,100
2026.03.07,86.0,13.8,0.2,0.0,0.0,0.0,100
2026.03.08,90.1,9.5,0.4,0.0,0.0,0.0,100
2026.03.09,88.2,11.7,0.1,0.0,0.0,0.0,100
2026.03.10,78.3,20.8,0.9,0.0,0.0,0.0,100
2026.03.11,87.7,12.1,0.2,0.0,0.0,0.0,100
2026.03.12,80.3,19.6,0.1,0.0,0.0,0.0,100
2026.03.13,57.4,36.4,6.1,0.0,0.0,0.0,100
2026.03.14,87.3,12.3,0.5,0.0,0.0,0.0,100
2026.03.15,83.3,16.7,0.0,0.0,0.0,0.0,100
2026.03.16,79.6,20.1,0.3,0.0,0.0,0.0,100
2026.03.17,69.5,27.2,3.4,0.0,0.0,0.0,100
2026.03.18,66.8,29.7,3.5,0.0,0.0,0.0,100
2026.03.19,60.7,37.3,2.0,0.0,0.0,0.0,100
2026.03.20,87.2,11.1,0.7,0.6,0.4,0.0,100
2026.03.21,61.9,37.0,1.1,0.0,0.0,0.0,100
2026.03.22,74.2,25.2,0.6,0.0,0.0,0.0,100
2026.03.23,72.7,26.6,0.7,0.0,0.0,0.0,100
