date,month,calm,light,gentle,quality
2026-01-01,Jan,99.8,0.2,0.0,GOOD
2026-01-02,Jan,94.6,5.1,0.3,GOOD
2026-01-03,Jan,77.8,19.4,2.7,GOOD
2026-01-04,Jan,90.3,9.4,0.3,GOOD
2026-01-05,Jan,78.4,18.0,3.5,GOOD
2026-01-06,Jan,80.3,16.1,3.5,GOOD
2026-01-07,Jan,59.3,26.6,13.5,FAIR
2026-01-08,Jan,53.6,22.2,23.5,FAIR
2026-01-09,Jan,58.7,12.9,23.0,FAIR
2026-01-10,Jan,81.8,13.9,4.2,GOOD
2026-01-11,Jan,82.6,15.1,2.3,GOOD
2026-01-12,Jan,77.9,18.9,3.1,GOOD
2026-01-13,Jan,89.8,9.0,1.2,GOOD
2026-01-14,Jan,93.4,6.6,0.0,GOOD
2026-01-15,Jan,98.0,2.0,0.0,GOOD
2026-01-16,Jan,99.2,0.8,0.1,GOOD
2026-01-17,Jan,99.2,0.8,0.0,GOOD
2026-01-18,Jan,99.2,0.8,0.0,GOOD
2026-01-19,Jan,88.7,10.5,0.8,GOOD
2026-01-20,Jan,96.7,3.3,0.0,GOOD
2026-01-21,Jan,97.7,2.3,0.0,GOOD
2026-01-22,Jan,92.2,7.7,0.1,GOOD
2026-01-23,Jan,79.6,15.3,5.2,GOOD
2026-01-24,Jan,92.8,7.2,0.1,GOOD
2026-01-25,Jan,93.2,6.7,0.1,GOOD
2026-01-26,Jan,94.9,4.2,0.9,GOOD
2026-01-27,Jan,88.6,10.2,1.1,GOOD
2026-01-28,Jan,96.7,2.6,0.6,GOOD
2026-01-29,Jan,98.1,1.9,0.0,GOOD
2026-01-30,Jan,99.0,1.0,0.0,GOOD
2026-01-31,Jan,98.6,1.3,0.1,GOOD
2026-02-01,Feb,98.6,1.3,0.1,GOOD
2026-02-02,Feb,90.1,9.4,0.6,GOOD
2026-02-03,Feb,80.7,14.6,4.7,GOOD
2026-02-04,Feb,85.0,9.0,5.6,GOOD
2026-02-05,Feb,98.0,2.0,0.0,GOOD
2026-02-06,Feb,88.2,10.0,1.8,GOOD
2026-02-07,Feb,98.1,1.8,0.1,GOOD
2026-02-08,Feb,92.6,7.4,0.0,GOOD
2026-02-09,Feb,90.8,8.8,0.4,GOOD
2026-02-10,Feb,94.4,5.0,0.6,GOOD
2026-02-11,Feb,82.9,16.4,0.6,GOOD
2026-02-12,Feb,83.9,15.8,0.3,GOOD
2026-02-13,Feb,84.5,15.3,0.2,GOOD
2026-02-14,Feb,85.3,14.7,0.1,GOOD
2026-02-15,Feb,89.7,10.3,0.0,GOOD
2026-02-16,Feb,87.1,12.7,0.2,GOOD
2026-02-17,Feb,84.6,15.3,0.1,GOOD
2026-02-18,Feb,85.9,13.4,0.7,GOOD
2026-02-19,Feb,74.5,25.1,0.4,GOOD
2026-02-20,Feb,80.6,18.5,0.9,GOOD
2026-02-21,Feb,83.6,16.1,0.2,GOOD
2026-02-22,Feb,78.6,20.5,0.9,GOOD
2026-02-23,Feb,79.3,20.5,0.1,GOOD
2026-02-24,Feb,80.2,18.0,1.8,GOOD
2026-02-25,Feb,64.7,33.8,1.5,FAIR
2026-02-26,Feb,80.2,16.6,2.4,GOOD
2026-02-27,Feb,92.3,6.8,1.0,GOOD
2026-02-28,Feb,83.2,16.3,0.5,GOOD
2026-03-01,Mar,78.2,21.6,0.2,GOOD
2026-03-02,Mar,76.3,23.7,0.0,GOOD
2026-03-03,Mar,72.3,27.6,0.1,GOOD
2026-03-04,Mar,69.3,26.3,4.4,FAIR
2026-03-05,Mar,82.6,17.3,0.1,GOOD
2026-03-06,Mar,79.8,19.9,0.3,GOOD
